LRK nummer,datum_inspectie,type onderzoek,kleur vestiging,actuele_naam_oko,aantal_kindplaatsen,vve,inschrijfdatum,opvanglocatie_adres,opvanglocatie_postcode,opvanglocatie_woonplaats,longitude,latitude,naam_houder,kvk_nummer_houder,rechtsvorm_houder,houder_adres,houder_postcode,houder_woonplaats,houder_buitenland,correspondentie_adres,correspondentie_postcode,correspondentie_woonplaats,correspondentie_buitenland,contact_persoon,contact_telefoon,contact_emailadres,contact_website,kvkvestiging,houder.href,houder.text,houdervanaf,url
767442362,02/16/2012,Jaarlijks inspectiebezoek,geel,IJsterk De Kraai,50,Nee,01/01/2010,Kraijenhoffstraat 32 ,1018RL,Amsterdam,4.93019,52.3694125,IJsterk Kinderopvang B.V.,34276067,BV,Postbus 14878,1001LJ,AMSTERDAM,,Kraijenhoffstraat 32 ,1018RL,AMSTERDAM,,,020-3446130',kdv.dekraai@ijsterk.nl,http://www.kinderopvang.ijsterk.nl,20988540,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=3846&currentPage=0,IJsterk Kinderopvang B.V.,01/01/2005,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=30913
767442362,09/29/2013,Jaarlijks inspectiebezoek,geel,IJsterk De Kraai,50,Nee,01/01/2010,Kraijenhoffstraat 32 ,1018RL,Amsterdam,4.93019,52.3694125,IJsterk Kinderopvang B.V.,34276067,BV,Postbus 14878,1001LJ,AMSTERDAM,,Kraijenhoffstraat 32 ,1018RL,AMSTERDAM,,,020-3446130',kdv.dekraai@ijsterk.nl,http://www.kinderopvang.ijsterk.nl,20988540,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=3846&currentPage=0,IJsterk Kinderopvang B.V.,01/01/2005,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=30913
767442362,04/24/2014,Jaarlijks inspectiebezoek,geel,IJsterk De Kraai,50,Nee,01/01/2010,Kraijenhoffstraat 32 ,1018RL,Amsterdam,4.93019,52.3694125,IJsterk Kinderopvang B.V.,34276067,BV,Postbus 14878,1001LJ,AMSTERDAM,,Kraijenhoffstraat 32 ,1018RL,AMSTERDAM,,,020-3446130',kdv.dekraai@ijsterk.nl,http://www.kinderopvang.ijsterk.nl,20988540,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=3846&currentPage=0,IJsterk Kinderopvang B.V.,01/01/2005,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=30913
543966689,03/13/2012,Jaarlijks inspectiebezoek,oranje,Caleido Kidzz Osdorperban (KDV),35,Ja,12/01/2010,Osdorper Ban 840 ,1069ZR,Amsterdam,4.789232,52.3605067,Caleido Kidzz Osdorperban B.V.,63389517,BV,Osdorper Ban 840 ,1069ZR,Amsterdam,,Osdorper Ban 840 ,1069ZR,Amsterdam,,mevrouw G. Akpinar,06 29219550',info@caleidokidzz.nl,http://www.caleidokidzz.nl,20695535,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=15870&currentPage=0,Caleido Kidzz Osdorperban B.V.,07/15/2015,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=66756
543966689,08/07/2013,Jaarlijks inspectiebezoek,oranje,Caleido Kidzz Osdorperban (KDV),35,Ja,12/01/2010,Osdorper Ban 840 ,1069ZR,Amsterdam,4.789232,52.3605067,Caleido Kidzz Osdorperban B.V.,63389517,BV,Osdorper Ban 840 ,1069ZR,Amsterdam,,Osdorper Ban 840 ,1069ZR,Amsterdam,,mevrouw G. Akpinar,06 29219550',info@caleidokidzz.nl,http://www.caleidokidzz.nl,20695535,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=15870&currentPage=0,Caleido Kidzz Osdorperban B.V.,07/15/2015,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=66756
543966689,11/06/2014,Jaarlijks inspectiebezoek,oranje,Caleido Kidzz Osdorperban (KDV),35,Ja,12/01/2010,Osdorper Ban 840 ,1069ZR,Amsterdam,4.789232,52.3605067,Caleido Kidzz Osdorperban B.V.,63389517,BV,Osdorper Ban 840 ,1069ZR,Amsterdam,,Osdorper Ban 840 ,1069ZR,Amsterdam,,mevrouw G. Akpinar,06 29219550',info@caleidokidzz.nl,http://www.caleidokidzz.nl,20695535,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=15870&currentPage=0,Caleido Kidzz Osdorperban B.V.,07/15/2015,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=66756
101742605,06/18/2012,Jaarlijks inspectiebezoek,rood,Kinderdagverblijf Tuintje Regenboog,49,Nee,01/01/2010,Pieter Calandlaan 839 ,1069SC,Amsterdam,4.799815,52.3517607,Kinderdagverblijf Tuintje Regenboog,34285192,VOF,Pieter Calandlaan 839 ,1069SC,AMSTERDAM,,Pieter Calandlaan 839 ,1069SC,AMSTERDAM,,,06-29116330 / 020-3375071',tuintje@regenbooggroep.nl,http://www.regenbooggroep.nl,9034021,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=3908&currentPage=0,Kinderdagverblijf Tuintje Regenboog,06/10/2008,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=31056
101742605,08/01/2013,Jaarlijks inspectiebezoek,rood,Kinderdagverblijf Tuintje Regenboog,49,Nee,01/01/2010,Pieter Calandlaan 839 ,1069SC,Amsterdam,4.799815,52.3517607,Kinderdagverblijf Tuintje Regenboog,34285192,VOF,Pieter Calandlaan 839 ,1069SC,AMSTERDAM,,Pieter Calandlaan 839 ,1069SC,AMSTERDAM,,,06-29116330 / 020-3375071',tuintje@regenbooggroep.nl,http://www.regenbooggroep.nl,9034021,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=3908&currentPage=0,Kinderdagverblijf Tuintje Regenboog,06/10/2008,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=31056
101742605,12/19/2014,Jaarlijks inspectiebezoek,rood,Kinderdagverblijf Tuintje Regenboog,49,Nee,01/01/2010,Pieter Calandlaan 839 ,1069SC,Amsterdam,4.799815,52.3517607,Kinderdagverblijf Tuintje Regenboog,34285192,VOF,Pieter Calandlaan 839 ,1069SC,AMSTERDAM,,Pieter Calandlaan 839 ,1069SC,AMSTERDAM,,,06-29116330 / 020-3375071',tuintje@regenbooggroep.nl,http://www.regenbooggroep.nl,9034021,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=3908&currentPage=0,Kinderdagverblijf Tuintje Regenboog,06/10/2008,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=31056
144459498,11/21/2014,Jaarlijks inspectiebezoek,geel,Kindercentrum Moeders Schoot B.V.,31,Ja,04/05/2013,Dr. H.Colijnstraat 250 ,1067CP,Amsterdam,4.807376,52.3808105,Kindercentrum Moeders Schoot B.V.,61066133,BV,Dr. H.Colijnstraat 252 ,1067CP,AMSTERDAM,,Dr. H.Colijnstraat 252 ,1067CP,AMSTERDAM,,Hakki Cakmakci,020 4471451',h.cakmakci@moedersschoot.nl,http://www.moedersschoot.nl,19137699,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=14734&currentPage=0,Kindercentrum Moeders Schoot B.V.,09/03/2014,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=100780
