LRK nummer,jaar,kleur vestiging,actuele_naam_oko,aantal_kindplaatsen,vve,inschrijfdatum,opvanglocatie_adres,opvanglocatie_postcode,opvanglocatie_woonplaats,longitude,latitude,naam_houder,kvk_nummer_houder,rechtsvorm_houder,houder_adres,houder_postcode,houder_woonplaats,correspondentie_adres,correspondentie_postcode,correspondentie_woonplaats,contact_persoon,contact_telefoon,contact_emailadres,contact_website,houder.href,houder.text,houdervanaf,url
191323445,2015,geel,Baboe,48,Nee,01/01/2010,Ternatestraat 16 ,2022BV,HAARLEM,4.6470231,52.3981697,Stichting Kinderopvang Haarlem,41225313,Stichting,Cornelis van Noordestraat 15 ,2033EC,HAARLEM,Ternatestraat 16 ,2022BV,HAARLEM,Mevr. P.E.M. Massop,023-5277577',baboe@kinderopvanghaarlem.nl,http://www.kinderopvanghaarlem.nl,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=3394&currentPage=0,Stichting Kinderopvang Haarlem,01/01/2005,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=23616
191323445,2013,oranje,Baboe,48,Nee,01/01/2010,Ternatestraat 16 ,2022BV,HAARLEM,4.6470231,52.3981697,Stichting Kinderopvang Haarlem,41225313,Stichting,Cornelis van Noordestraat 15 ,2033EC,HAARLEM,Ternatestraat 16 ,2022BV,HAARLEM,Mevr. P.E.M. Massop,023-5277577',baboe@kinderopvanghaarlem.nl,http://www.kinderopvanghaarlem.nl,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=3394&currentPage=0,Stichting Kinderopvang Haarlem,01/01/2005,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=23616
191323445,2014,oranje,Baboe,48,Nee,01/01/2010,Ternatestraat 16 ,2022BV,HAARLEM,4.6470231,52.3981697,Stichting Kinderopvang Haarlem,41225313,Stichting,Cornelis van Noordestraat 15 ,2033EC,HAARLEM,Ternatestraat 16 ,2022BV,HAARLEM,Mevr. P.E.M. Massop,023-5277577',baboe@kinderopvanghaarlem.nl,http://www.kinderopvanghaarlem.nl,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=3394&currentPage=0,Stichting Kinderopvang Haarlem,01/01/2005,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=23616
135005802,2013,geel,BamBam & Pebbles,28,Nee,01/01/2010,Venkelstraat 30b ,2034MS,HAARLEM,4.6443269,52.3676769,Bambam & Pebbles,34095547,VOF,Venkelstraat 30b ,2034MS,HAARLEM,Venkelstraat 30b ,2034MS,HAARLEM,,023-5400598',bam-peb@planet.nl,,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=3429&currentPage=0,Bambam & Pebbles,05/03/2007,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=23568
135005802,2014,geel,BamBam & Pebbles,28,Nee,01/01/2010,Venkelstraat 30b ,2034MS,HAARLEM,4.6443269,52.3676769,Bambam & Pebbles,34095547,VOF,Venkelstraat 30b ,2034MS,HAARLEM,Venkelstraat 30b ,2034MS,HAARLEM,,023-5400598',bam-peb@planet.nl,,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=3429&currentPage=0,Bambam & Pebbles,05/03/2007,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=23568
135005802,2015,geel,BamBam & Pebbles,28,Nee,01/01/2010,Venkelstraat 30b ,2034MS,HAARLEM,4.6443269,52.3676769,Bambam & Pebbles,34095547,VOF,Venkelstraat 30b ,2034MS,HAARLEM,Venkelstraat 30b ,2034MS,HAARLEM,,023-5400598',bam-peb@planet.nl,,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=3429&currentPage=0,Bambam & Pebbles,05/03/2007,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=23568
232257553,2014,groen,Beer Bodoni,60,Nee,01/01/2010,A. Hofmanweg 14 ,2031BL,HAARLEM,4.666685,52.3944455,Stichting Kinderopvang Haarlem,41225313,Stichting,Cornelis van Noordestraat 15 ,2033EC,HAARLEM,A. Hofmanweg 14 ,2031BL,HAARLEM,Mevr. P.E.M. Massop,023-5321178',lhb@kinderopvanghaarlem.nl,http://www.kinderopvanghaarlem.nl,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=3394&currentPage=0,Stichting Kinderopvang Haarlem,01/01/2005,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=23619
232257553,2015,groen,Beer Bodoni,60,Nee,01/01/2010,A. Hofmanweg 14 ,2031BL,HAARLEM,4.666685,52.3944455,Stichting Kinderopvang Haarlem,41225313,Stichting,Cornelis van Noordestraat 15 ,2033EC,HAARLEM,A. Hofmanweg 14 ,2031BL,HAARLEM,Mevr. P.E.M. Massop,023-5321178',lhb@kinderopvanghaarlem.nl,http://www.kinderopvanghaarlem.nl,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=3394&currentPage=0,Stichting Kinderopvang Haarlem,01/01/2005,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=23619
332539696,2013,geel,Boeventuin,35,Nee,01/01/2010,Geusevesperstraat 5 ,2026SH,HAARLEM,4.6509421,52.420708,Stichting kinderopvang Spaarne,34298621,Stichting,Gedempte Oude Gracht 67 ,2011GM,HAARLEM,Geusevesperstraat 5 ,2026SH,HAARLEM,A. Zoomers,023-5379290',kwaliteit@skos.nl,http://www.skos.nl,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=3145&currentPage=0,Stichting kinderopvang Spaarne,01/01/2005,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=23529
332539696,2014,geel,Boeventuin,35,Nee,01/01/2010,Geusevesperstraat 5 ,2026SH,HAARLEM,4.6509421,52.420708,Stichting kinderopvang Spaarne,34298621,Stichting,Gedempte Oude Gracht 67 ,2011GM,HAARLEM,Geusevesperstraat 5 ,2026SH,HAARLEM,A. Zoomers,023-5379290',kwaliteit@skos.nl,http://www.skos.nl,http://www.landelijkregisterkinderopvang.nl/pp/inzien/houder/NHRVestiging/GegevensHouder.jsf?selectedResultId=3145&currentPage=0,Stichting kinderopvang Spaarne,01/01/2005,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=23529
