"Gemeente";"CBS";"Veiligheidsregio's";"Inwoneraantal van regio"
"Aa en Hunze";"1680";"Drenthe";"488611"
"Aalburg";"0738";"Midden- en West-Brabant";"1091129"
"Aalsmeer";"0358";"Amsterdam-Amstelland";"1008808"
"Aalten";"0197";"Noord- en Oost-Gelderland";"812224"
"Achtkarspelen";"0059";"Fryslân";"646324"
"Alblasserdam";"0482";"Zuid-Holland-Zuid";"484986"
"Albrandswaard";"0613";"Rotterdam-Rijnmond";"1279414"
"Alkmaar";"0361";"Noord-Holland-Noord";"646991"
"Almelo";"0141";"Twente";"626009"
"Almere";"0034";"Flevoland";"401503"
"Alphen aan den Rijn";"0484";"Hollands-Midden";"774476"
"Alphen-Chaam";"1723";"Midden- en West-Brabant";"1091129"
"Ameland";"0060";"Fryslân";"646324"
"Amersfoort";"0307";"Utrecht";"1263509"
"Amstelveen";"0362";"Amsterdam-Amstelland";"1008808"
"Amsterdam";"0363";"Amsterdam-Amstelland";"1008808"
"Apeldoorn";"0200";"Noord- en Oost-Gelderland";"812224"
"Appingedam";"0003";"Groningen";"584104"
"Arnhem";"0202";"Gelderland-Midden";"670924"
"Assen";"0106";"Drenthe";"488611"
"Asten";"0743";"Brabant-Zuidoost";"752485"
"Baarle-Nassau";"0744";"Midden- en West-Brabant";"1091129"
"Baarn";"0308";"Utrecht";"1263509"
"Barendrecht";"0489";"Rotterdam-Rijnmond";"1279414"
"Barneveld";"0203";"Gelderland-Midden";"670924"
"Bedum";"0005";"Groningen";"584104"
"Beek";"0888";"Limburg-Zuid";"602040"
"Beemster";"0370";"Zaanstreek-Waterland";"328233"
"Beesel";"0889";"Limburg-Noord";"516014"
"Bellingwedde";"0007";"Groningen";"584104"
"Berg en Dal";"1945";"Gelderland-Zuid";"543245"
"Bergeijk";"1724";"Brabant-Zuidoost";"752485"
"Bergen (L)";"0893";"Limburg-Noord";"516014"
"Bergen (NH)";"0373";"Noord-Holland-Noord";"646991"
"Bergen op Zoom";"0748";"Midden- en West-Brabant";"1091129"
"Berkelland";"1859";"Noord- en Oost-Gelderland";"812224"
"Bernheze";"1721";"Brabant-Noord";"645711"
"Best";"0753";"Brabant-Zuidoost";"752485"
"Beuningen";"0209";"Gelderland-Zuid";"543245"
"Beverwijk";"0375";"Kennemerland";"531591"
"Binnenmaas";"0585";"Zuid-Holland-Zuid";"484986"
"Bladel";"1728";"Brabant-Zuidoost";"752485"
"Blaricum";"0376";"Gooi en Vechtstreek";"246540"
"Bloemendaal";"0377";"Kennemerland";"531591"
"Bodegraven-Reeuwijk";"1901";"Hollands-Midden";"774476"
"Boekel";"0755";"Brabant-Noord";"645711"
"Borger-Odoorn";"1681";"Drenthe";"488611"
"Borne";"0147";"Twente";"626009"
"Borsele";"0654";"Zeeland";"380717"
"Boxmeer";"0756";"Brabant-Noord";"645711"
"Boxtel";"0757";"Brabant-Noord";"645711"
"Breda";"0758";"Midden- en West-Brabant";"1091129"
"Brielle";"0501";"Rotterdam-Rijnmond";"1279414"
"Bronckhorst";"1876";"Noord- en Oost-Gelderland";"812224"
"Brummen";"0213";"Noord- en Oost-Gelderland";"812224"
"Brunssum";"0899";"Limburg-Zuid";"602040"
"Bunnik";"0312";"Utrecht";"1263509"
"Bunschoten";"0313";"Utrecht";"1263509"
"Buren";"0214";"Gelderland-Zuid";"543245"
"Capelle aan den IJssel";"0502";"Rotterdam-Rijnmond";"1279414"
"Castricum";"0383";"Noord-Holland-Noord";"646991"
"Coevorden";"0109";"Drenthe";"488611"
"Cranendonck";"1706";"Brabant-Zuidoost";"752485"
"Cromstrijen";"0611";"Zuid-Holland-Zuid";"484986"
"Cuijk";"1684";"Brabant-Noord";"645711"
"Culemborg";"0216";"Gelderland-Zuid";"543245"
"Dalfsen";"0148";"IJsselland";"514650"
"Dantumadiel";"1891";"Fryslân";"646324"
"De Bilt";"0310";"Utrecht";"1263509"
"De Fryske Marren";"1940";"Fryslân";"646324"
"De Marne";"1663";"Groningen";"584104"
"De Ronde Venen";"0736";"Utrecht";"1263509"
"De Wolden";"1690";"Drenthe";"488611"
"Delft";"0503";"Haaglanden";"1061908"
"Delfzijl";"0010";"Groningen";"584104"
"Den Helder";"0400";"Noord-Holland-Noord";"646991"
"Deurne";"0762";"Brabant-Zuidoost";"752485"
"Deventer";"0150";"IJsselland";"514650"
"Diemen";"0384";"Amsterdam-Amstelland";"1008808"
"Dinkelland";"1774";"Twente";"626009"
"Doesburg";"0221";"Gelderland-Midden";"670924"
"Doetinchem";"0222";"Noord- en Oost-Gelderland";"812224"
"Dongen";"0766";"Midden- en West-Brabant";"1091129"
"Dongeradeel";"0058";"Fryslân";"646324"
"Dordrecht";"0505";"Zuid-Holland-Zuid";"484986"
"Drechterland";"0498";"Noord-Holland-Noord";"646991"
"Drimmelen";"1719";"Midden- en West-Brabant";"1091129"
"Dronten";"0303";"Flevoland";"401503"
"Druten";"0225";"Gelderland-Zuid";"543245"
"Duiven";"0226";"Gelderland-Midden";"670924"
"Echt-Susteren";"1711";"Limburg-Noord";"516014"
"Edam-Volendam";"0385";"Zaanstreek-Waterland";"328233"
"Ede";"0228";"Gelderland-Midden";"670924"
"Eemnes";"0317";"Utrecht";"1263509"
"Eemsmond";"1651";"Groningen";"584104"
"Eersel";"0770";"Brabant-Zuidoost";"752485"
"Eijsden-Margraten";"1903";"Limburg-Zuid";"602040"
"Eindhoven";"0772";"Brabant-Zuidoost";"752485"
"Elburg";"0230";"Noord- en Oost-Gelderland";"812224"
"Emmen";"0114";"Drenthe";"488611"
"Enkhuizen";"0388";"Noord-Holland-Noord";"646991"
"Enschede";"0153";"Twente";"626009"
"Epe";"0232";"Noord- en Oost-Gelderland";"812224"
"Ermelo";"0233";"Noord- en Oost-Gelderland";"812224"
"Etten-Leur";"0777";"Midden- en West-Brabant";"1091129"
"Ferwerderadiel";"1722";"Fryslân";"646324"
"Franekeradeel";"0070";"Fryslân";"646324"
"Geertruidenberg";"0779";"Midden- en West-Brabant";"1091129"
"Geldermalsen";"0236";"Gelderland-Zuid";"543245"
"Geldrop-Mierlo";"1771";"Brabant-Zuidoost";"752485"
"Gemert-Bakel";"1652";"Brabant-Zuidoost";"752485"
"Gennep";"0907";"Limburg-Noord";"516014"
"Giessenlanden";"0689";"Zuid-Holland-Zuid";"484986"
"Gilze en Rijen";"0784";"Midden- en West-Brabant";"1091129"
"Goeree-Overflakkee";"1924";"Rotterdam-Rijnmond";"1279414"
"Goes";"0664";"Zeeland";"380717"
"Goirle";"0785";"Midden- en West-Brabant";"1091129"
"Gooise Meren";"1942";"Gooi en Vechtstreek";"246540"
"Gorinchem";"0512";"Zuid-Holland-Zuid";"484986"
"Gouda";"0513";"Hollands-Midden";"774476"
"Grave";"0786";"Brabant-Noord";"645711"
"'s-Gravenhage";"0518";"Haaglanden";"1061908"
"Groningen";"0014";"Groningen";"584104"
"Grootegast";"0015";"Groningen";"584104"
"Gulpen-Wittem";"1729";"Limburg-Zuid";"602040"
"Haaksbergen";"0158";"Twente";"626009"
"Haaren";"0788";"Brabant-Noord";"645711"
"Haarlem";"0392";"Kennemerland";"531591"
"Haarlemmerliede en Spaarnwoude";"0393";"Kennemerland";"531591"
"Haarlemmermeer";"0394";"Kennemerland";"531591"
"Halderberge";"1655";"Midden- en West-Brabant";"1091129"
"Hardenberg";"0160";"IJsselland";"514650"
"Harderwijk";"0243";"Noord- en Oost-Gelderland";"812224"
"Hardinxveld-Giessendam";"0523";"Zuid-Holland-Zuid";"484986"
"Haren";"0017";"Groningen";"584104"
"Harlingen";"0072";"Fryslân";"646324"
"Hattem";"0244";"Noord- en Oost-Gelderland";"812224"
"Heemskerk";"0396";"Kennemerland";"531591"
"Heemstede";"0397";"Kennemerland";"531591"
"Heerde";"0246";"Noord- en Oost-Gelderland";"812224"
"Heerenveen";"0074";"Fryslân";"646324"
"Heerhugowaard";"0398";"Noord-Holland-Noord";"646991"
"Heerlen";"0917";"Limburg-Zuid";"602040"
"Heeze-Leende";"1658";"Brabant-Zuidoost";"752485"
"Heiloo";"0399";"Noord-Holland-Noord";"646991"
"Hellendoorn";"0163";"Twente";"626009"
"Hellevoetsluis";"0530";"Rotterdam-Rijnmond";"1279414"
"Helmond";"0794";"Brabant-Zuidoost";"752485"
"Hendrik-Ido-Ambacht";"0531";"Zuid-Holland-Zuid";"484986"
"Hengelo (O)";"0164";"Twente";"626009"
"'s-Hertogenbosch";"0796";"Brabant-Noord";"645711"
"het Bildt";"0063";"Fryslân";"646324"
"Heumen";"0252";"Gelderland-Zuid";"543245"
"Heusden";"0797";"Brabant-Noord";"645711"
"Hillegom";"0534";"Hollands-Midden";"774476"
"Hilvarenbeek";"0798";"Midden- en West-Brabant";"1091129"
"Hilversum";"0402";"Gooi en Vechtstreek";"246540"
"Hof van Twente";"1735";"Twente";"626009"
"Hollands Kroon";"1911";"Noord-Holland-Noord";"646991"
"Hoogeveen";"0118";"Drenthe";"488611"
"Hoogezand-Sappemeer";"0018";"Groningen";"584104"
