"Gemeente";"CBS";"RMC-regio's (Regionaal Meld- en Coördinatiepunt)";"Inwoneraantal van regio"
"Haarlemmerliede en Spaarnwoude";"0393";"West-Kennemerland";"387409"
"Haarlemmermeer";"0394";"Agglomeratie Amsterdam";"1481223"
"Halderberge";"1655";"West-Brabant ";"694612"
"Hardenberg";"0160";"IJssel-Vecht";"428642"
"Harderwijk";"0243";"Noordwest Veluwe";"190541"
"Hardinxveld-Giessendam";"0523";"Zuid-Holland-Zuid";"484986"
"Haren";"0017";"Centraal en Westelijk Groningen";"329926"
"Harlingen";"0072";"Friesland Noord";"253330"
"Hattem";"0244";"IJssel-Vecht";"428642"
"Heemskerk";"0396";"West-Kennemerland";"387409"
"Heemstede";"0397";"West-Kennemerland";"387409"
"Heerde";"0246";"IJssel-Vecht";"428642"
"Heerenveen";"0074";"Friesland-Oost";"246716"
"Heerhugowaard";"0398";"Noord-Kennemerland";"274886"
"Heerlen";"0917";"Gewest Zuid-Limburg";"634009"
"Heeze-Leende";"1658";"Zuidoost-Brabant";"752485"
"Heiloo";"0399";"Noord-Kennemerland";"274886"
"Hellendoorn";"0163";"Twente";"626009"
"Hellevoetsluis";"0530";"Rijnmond";"1279414"
"Helmond";"0794";"Zuidoost-Brabant";"752485"
"Hendrik-Ido-Ambacht";"0531";"Zuid-Holland-Zuid";"484986"
"Hengelo (O)";"0164";"Twente";"626009"
"'s-Hertogenbosch";"0796";"Noord-Oost-Brabant";"645711"
"het Bildt";"0063";"Friesland Noord";"253330"
"Heumen";"0252";"Arnhem/Nijmegen";"700336"
"Heusden";"0797";"Noord-Oost-Brabant";"645711"
"Hillegom";"0534";"Zuid Holland Noord";"415065"
"Hilvarenbeek";"0798";"Midden-Brabant";"396517"
"Hilversum";"0402";"Gooi en Vechtstreek";"255347"
"Hof van Twente";"1735";"Twente";"626009"
"Hollands Kroon";"1911";"Kop van Noord-Holland";"163711"
"Hoogeveen";"0118";"Zuidwest Drenthe";"130400"
"Hoogezand-Sappemeer";"0018";"Centraal en Westelijk Groningen";"329926"
"Hoorn";"0405";"West-Friesland";"208394"
"Horst aan de Maas";"1507";"Gewest Limburg-Noord";"476283"
"Houten";"0321";"Utrecht";"882490"
"Huizen";"0406";"Gooi en Vechtstreek";"255347"
"Hulst";"0677";"Zeeuws-Vlaanderen";"105679"
"IJsselstein";"0353";"Utrecht";"882490"
"Kaag en Braassem";"1884";"Zuid Holland Noord";"415065"
"Kampen";"0166";"IJssel-Vecht";"428642"
"Kapelle";"0678";"Oosterschelde regio";"161009"
"Katwijk";"0537";"Zuid Holland Noord";"415065"
"Kerkrade";"0928";"Gewest Zuid-Limburg";"634009"
"Koggenland";"1598";"West-Friesland";"208394"
"Kollumerland en Nieuwkruisland";"0079";"Friesland Noord";"253330"
"Korendijk";"0588";"Zuid-Holland-Zuid";"484986"
"Krimpen aan den IJssel";"0542";"Rijnmond";"1279414"
"Krimpenerwaard";"1931";"Zuid-Holland-Oost";"359411"
"Laarbeek";"1659";"Zuidoost-Brabant";"752485"
"Landerd";"1685";"Noord-Oost-Brabant";"645711"
"Landgraaf";"0882";"Gewest Zuid-Limburg";"634009"
"Landsmeer";"0415";"Agglomeratie Amsterdam";"1481223"
"Langedijk";"0416";"Noord-Kennemerland";"274886"
"Lansingerland";"1621";"Rijnmond";"1279414"
"Laren";"0417";"Gooi en Vechtstreek";"255347"
"Leek";"0022";"Centraal en Westelijk Groningen";"329926"
"Leerdam";"0545";"Zuid-Holland-Zuid";"484986"
"Leeuwarden";"0080";"Friesland Noord";"253330"
"Leeuwarderadeel";"0081";"Friesland Noord";"253330"
"Leiden";"0546";"Zuid Holland Noord";"415065"
"Leiderdorp";"0547";"Zuid Holland Noord";"415065"
"Leidschendam-Voorburg";"1916";"Haaglanden";"1061908"
"Lelystad";"0995";"Flevoland";"379863"
"Leudal";"1640";"Gewest Limburg-Noord";"476283"
"Leusden";"0327";"Eem en vallei";"626634"
"Lingewaal";"0733";"Rivierenland";"255817"
"Lingewaard";"1705";"Arnhem/Nijmegen";"700336"
"Lisse";"0553";"Zuid Holland Noord";"415065"
"Littenseradiel";"0140";"Zuidwest Friesland";"146278"
"Lochem";"0262";"Stedendriehoek";"431599"
"Loon op Zand";"0809";"Midden-Brabant";"396517"
"Lopik";"0331";"Utrecht";"882490"
"Loppersum";"0024";"Noord-Groningen-Eemsmond";"105178"
"Losser";"0168";"Twente";"626009"
"Maasdriel";"0263";"Rivierenland";"255817"
"Maasgouw";"1641";"Gewest Limburg-Noord";"476283"
"Maassluis";"0556";"Rijnmond";"1279414"
"Maastricht";"0935";"Gewest Zuid-Limburg";"634009"
"Marum";"0025";"Centraal en Westelijk Groningen";"329926"
"Medemblik";"0420";"West-Friesland";"208394"
"Meerssen";"0938";"Gewest Zuid-Limburg";"634009"
"Menameradiel";"1908";"Friesland Noord";"253330"
"Menterwolde";"1987";"Oost-Groningen";"149000"
"Meppel";"0119";"Zuidwest Drenthe";"130400"
"Middelburg";"0687";"Walcheren";"114029"
"Midden-Delfland";"1842";"Haaglanden";"1061908"
"Midden-Drenthe";"1731";"Noord en Midden Drenthe";"189373"
"Mill en Sint Hubert";"0815";"Noord-Oost-Brabant";"645711"
"Moerdijk";"1709";"West-Brabant ";"694612"
"Molenwaard";"1927";"Zuid-Holland-Zuid";"484986"
"Montferland";"1955";"Achterhoek";"309088"
"Montfoort";"0335";"Utrecht";"882490"
"Mook en Middelaar";"0944";"Arnhem/Nijmegen";"700336"
"Neder-Betuwe";"1740";"Rivierenland";"255817"
"Nederweert";"0946";"Gewest Limburg-Noord";"476283"
"Neerijnen";"0304";"Rivierenland";"255817"
"Nieuwegein";"0356";"Utrecht";"882490"
"Nieuwkoop";"0569";"Zuid-Holland-Oost";"359411"
"Nijkerk";"0267";"Eem en vallei";"626634"
"Nijmegen";"0268";"Arnhem/Nijmegen";"700336"
"Nissewaard";"1930";"Rijnmond";"1279414"
"Noord-Beveland";"1695";"Oosterschelde regio";"161009"
"Noordenveld";"1699";"Noord en Midden Drenthe";"189373"
"Noordoostpolder";"0171";"Flevoland";"379863"
"Noordwijk";"0575";"Zuid Holland Noord";"415065"
"Noordwijkerhout";"0576";"Zuid Holland Noord";"415065"
"Nuenen, Gerwen en Nederwetten";"0820";"Zuidoost-Brabant";"752485"
"Nunspeet";"0302";"Noordwest Veluwe";"190541"
"Nuth";"0951";"Gewest Zuid-Limburg";"634009"
"Oegstgeest";"0579";"Zuid Holland Noord";"415065"
"Oirschot";"0823";"Zuidoost-Brabant";"752485"
"Oisterwijk";"0824";"Midden-Brabant";"396517"
"Oldambt";"1895";"Oost-Groningen";"149000"
"Oldebroek";"0269";"Noordwest Veluwe";"190541"
"Oldenzaal";"0173";"Twente";"626009"
"Olst-Wijhe";"1773";"Stedendriehoek";"431599"
"Ommen";"0175";"IJssel-Vecht";"428642"
"Onderbanken";"0881";"Gewest Zuid-Limburg";"634009"
"Oost Gelre";"1586";"Achterhoek";"309088"
"Oosterhout";"0826";"West-Brabant ";"694612"
"Ooststellingwerf";"0085";"Friesland-Oost";"246716"
"Oostzaan";"0431";"Agglomeratie Amsterdam";"1481223"
"Opmeer";"0432";"West-Friesland";"208394"
"Opsterland";"0086";"Friesland-Oost";"246716"
"Oss";"0828";"Noord-Oost-Brabant";"645711"
"Oud-Beijerland";"0584";"Zuid-Holland-Zuid";"484986"
"Oude IJsselstreek";"1509";"Achterhoek";"309088"
"Ouder-Amstel";"0437";"Agglomeratie Amsterdam";"1481223"
"Oudewater";"0589";"Utrecht";"882490"
"Overbetuwe";"1734";"Arnhem/Nijmegen";"700336"
"Papendrecht";"0590";"Zuid-Holland-Zuid";"484986"
"Peel en Maas";"1894";"Gewest Limburg-Noord";"476283"
"Pekela";"0765";"Oost-Groningen";"149000"
"Pijnacker-Nootdorp";"1926";"Haaglanden";"1061908"
"Purmerend";"0439";"Agglomeratie Amsterdam";"1481223"
"Putten";"0273";"Noordwest Veluwe";"190541"
"Raalte";"0177";"IJssel-Vecht";"428642"
"Reimerswaal";"0703";"Oosterschelde regio";"161009"
"Renkum";"0274";"Arnhem/Nijmegen";"700336"
"Renswoude";"0339";"Eem en vallei";"626634"
"Reusel-De Mierden";"1667";"Zuidoost-Brabant";"752485"
"Rheden";"0275";"Arnhem/Nijmegen";"700336"
"Rhenen";"0340";"Eem en vallei";"626634"
"Ridderkerk";"0597";"Rijnmond";"1279414"
"Rijnwaarden";"0196";"Arnhem/Nijmegen";"700336"
"Rijssen-Holten";"1742";"Twente";"626009"
"Rijswijk";"0603";"Haaglanden";"1061908"
"Roerdalen";"1669";"Gewest Limburg-Noord";"476283"
"Roermond";"0957";"Gewest Limburg-Noord";"476283"
"Roosendaal";"1674";"West-Brabant ";"694612"
"Rotterdam";"0599";"Rijnmond";"1279414"
"Rozendaal";"0277";"Arnhem/Nijmegen";"700336"
"Rucphen";"0840";"West-Brabant ";"694612"
"Schagen";"0441";"Kop van Noord-Holland";"163711"
"Scherpenzeel";"0279";"Eem en vallei";"626634"
"Schiedam";"0606";"Rijnmond";"1279414"
"Schiermonnikoog";"0088";"Friesland Noord";"253330"
"Schijndel";"0844";"Noord-Oost-Brabant";"645711"
"Schinnen";"0962";"Gewest Zuid-Limburg";"634009"
"Schouwen-Duiveland";"1676";"Oosterschelde regio";"161009"
"Simpelveld";"0965";"Gewest Zuid-Limburg";"634009"
"Sint Anthonis";"1702";"Noord-Oost-Brabant";"645711"
"Sint-Michielsgestel";"0845";"Noord-Oost-Brabant";"645711"
"Sint-Oedenrode";"0846";"Noord-Oost-Brabant";"645711"
"Sittard-Geleen";"1883";"Gewest Zuid-Limburg";"634009"
"Sliedrecht";"0610";"Zuid-Holland-Zuid";"484986"
"Slochteren";"0040";"Centraal en Westelijk Groningen";"329926"
"Sluis";"1714";"Zeeuws-Vlaanderen";"105679"
"Smallingerland";"0090";"Friesland-Oost";"246716"
"Soest";"0342";"Eem en vallei";"626634"
"Someren";"0847";"Zuidoost-Brabant";"752485"
"Son en Breugel";"0848";"Zuidoost-Brabant";"752485"
"Stadskanaal";"0037";"Oost-Groningen";"149000"
"Staphorst";"0180";"IJssel-Vecht";"428642"
"Stede Broec";"0532";"West-Friesland";"208394"
"Steenbergen";"0851";"West-Brabant ";"694612"
"Steenwijkerland";"1708";"IJssel-Vecht";"428642"
"Stein";"0971";"Gewest Zuid-Limburg";"634009"
"Stichtse Vecht";"1904";"Utrecht";"882490"
"Strijen";"0617";"Zuid-Holland-Zuid";"484986"
"Súdwest Fryslân";"1900";"Zuidwest Friesland";"146278"
"Ten Boer";"0009";"Noord-Groningen-Eemsmond";"105178"
"Terneuzen";"0715";"Zeeuws-Vlaanderen";"105679"
"Terschelling";"0093";"Friesland Noord";"253330"
"Texel";"0448";"Kop van Noord-Holland";"163711"
"Teylingen";"1525";"Zuid Holland Noord";"415065"
"Tholen";"0716";"Oosterschelde regio";"161009"
"Tiel";"0281";"Rivierenland";"255817"
"Tilburg";"0855";"Midden-Brabant";"396517"
"Tubbergen";"0183";"Twente";"626009"
"Twenterand";"1700";"Twente";"626009"
"Tynaarlo";"1730";"Noord en Midden Drenthe";"189373"
"Tytsjerksteradiel";"0737";"Friesland-Oost";"246716"
"Uden";"0856";"Noord-Oost-Brabant";"645711"
"Uitgeest";"0450";"West-Kennemerland";"387409"
"Uithoorn";"0451";"Agglomeratie Amsterdam";"1481223"
"Urk";"0184";"Flevoland";"379863"
"Utrecht";"0344";"Utrecht";"882490"
"Utrechtse Heuvelrug";"1581";"Utrecht";"882490"
"Vaals";"0981";"Gewest Zuid-Limburg";"634009"
"Valkenburg aan de Geul";"0994";"Gewest Zuid-Limburg";"634009"
"Valkenswaard";"0858";"Zuidoost-Brabant";"752485"
"Veendam";"0047";"Oost-Groningen";"149000"
"Veenendaal";"0345";"Eem en vallei";"626634"
"Veere";"0717";"Walcheren";"114029"
"Veghel";"0860";"Noord-Oost-Brabant";"645711"
"Veldhoven";"0861";"Zuidoost-Brabant";"752485"
"Velsen";"0453";"West-Kennemerland";"387409"
"Venlo";"0983";"Gewest Limburg-Noord";"476283"
"Venray";"0984";"Gewest Limburg-Noord";"476283"
"Vianen";"0620";"Utrecht";"882490"
"Vlaardingen";"0622";"Rijnmond";"1279414"
"Vlagtwedde";"0048";"Oost-Groningen";"149000"
"Vlieland";"0096";"Friesland Noord";"253330"
"Vlissingen";"0718";"Walcheren";"114029"
"Voerendaal";"0986";"Gewest Zuid-Limburg";"634009"
"Voorschoten";"0626";"Zuid Holland Noord";"415065"
"Voorst";"0285";"Stedendriehoek";"431599"
"Vught";"0865";"Noord-Oost-Brabant";"645711"
"Waalre";"0866";"Zuidoost-Brabant";"752485"
"Waalwijk";"0867";"Midden-Brabant";"396517"
"Waddinxveen";"0627";"Zuid-Holland-Oost";"359411"
"Wageningen";"0289";"Eem en vallei";"626634"
"Wassenaar";"0629";"Haaglanden";"1061908"
"Waterland";"0852";"Agglomeratie Amsterdam";"1481223"
"Weert";"0988";"Gewest Limburg-Noord";"476283"
"Weesp";"0457";"Gooi en Vechtstreek";"255347"
"Werkendam";"0870";"West-Brabant ";"694612"
"West Maas en Waal";"0668";"Rivierenland";"255817"
"Westerveld";"1701";"Zuidwest Drenthe";"130400"
"Westervoort";"0293";"Arnhem/Nijmegen";"700336"
"Westland";"1783";"Haaglanden";"1061908"
"Weststellingwerf";"0098";"Friesland-Oost";"246716"
"Westvoorne";"0614";"Rijnmond";"1279414"
"Wierden";"0189";"Twente";"626009"
"Wijchen";"0296";"Arnhem/Nijmegen";"700336"
"Wijdemeren";"1696";"Gooi en Vechtstreek";"255347"
"Wijk bij Duurstede";"0352";"Utrecht";"882490"
"Winsum";"0053";"Noord-Groningen-Eemsmond";"105178"
"Winterswijk";"0294";"Achterhoek";"309088"
"Woensdrecht";"0873";"West-Brabant ";"694612"
"Woerden";"0632";"Utrecht";"882490"
"Wormerland";"0880";"Agglomeratie Amsterdam";"1481223"
"Woudenberg";"0351";"Eem en vallei";"626634"
"Woudrichem";"0874";"West-Brabant ";"694612"
"Zaanstad";"0479";"Agglomeratie Amsterdam";"1481223"
"Zaltbommel";"0297";"Rivierenland";"255817"
"Zandvoort";"0473";"West-Kennemerland";"387409"
"Zederik";"0707";"Zuid-Holland-Zuid";"484986"
"Zeewolde";"0050";"Noordwest Veluwe";"190541"
"Zeist";"0355";"Utrecht";"882490"
"Zevenaar";"0299";"Arnhem/Nijmegen";"700336"
"Zoetermeer";"0637";"Haaglanden";"1061908"
"Zoeterwoude";"0638";"Zuid Holland Noord";"415065"
"Zuidhorn";"0056";"Centraal en Westelijk Groningen";"329926"
"Zuidplas";"1892";"Zuid-Holland-Oost";"359411"
"Zundert";"0879";"West-Brabant ";"694612"
"Zutphen";"0301";"Stedendriehoek";"431599"
"Zwartewaterland";"1896";"IJssel-Vecht";"428642"
"Zwijndrecht";"0642";"Zuid-Holland-Zuid";"484986"
"Zwolle";"0193";"IJssel-Vecht";"428642"
