"Gemeente";"CBS";"Regionale Platforms Arbeidsmarkt";"Inwoneraantal van regio"
"Aa en Hunze";"1680";"Centraal-Groningen";"470430"
"Aalburg";"0738";"West-Brabant";"678256"
"Aalsmeer";"0358";"Zuidelijk Noord-Holland";"1911222"
"Aalten";"0197";"Achterhoek";"297732"
"Achtkarspelen";"0059";"Fryslân";"646324"
"Alblasserdam";"0482";"Rijnmond";"1764400"
"Albrandswaard";"0613";"Rijnmond";"1764400"
"Alkmaar";"0361";"Noord-Holland-Noord";"646991"
"Almelo";"0141";"Twente";"626009"
"Almere";"0034";"Flevoland";"401503"
"Alphen aan den Rijn";"0484";"Rijn-Gouwe";"784397"
"Alphen-Chaam";"1723";"Midden-Brabant";"456009"
"Ameland";"0060";"Fryslân";"646324"
"Amersfoort";"0307";"Eemland";"284500"
"Amstelveen";"0362";"Zuidelijk Noord-Holland";"1911222"
"Amsterdam";"0363";"Zuidelijk Noord-Holland";"1911222"
"Apeldoorn";"0200";"Stedendriehoek";"431599"
"Appingedam";"0003";"Noord-Groningen";"105178"
"Arnhem";"0202";"IJssel en Rijn";"416502"
"Assen";"0106";"Centraal-Groningen";"470430"
"Asten";"0743";"Zuidoost-Brabant";"731958"
"Baarle-Nassau";"0744";"Midden-Brabant";"456009"
"Baarn";"0308";"Eemland";"284500"
"Barendrecht";"0489";"Rijnmond";"1764400"
"Barneveld";"0203";"De Vallei";"342134"
"Bedum";"0005";"Noord-Groningen";"105178"
"Beek";"0888";"Westelijke Mijnstreek";"148087"
"Beemster";"0370";"Zuidelijk Noord-Holland";"1911222"
"Beesel";"0889";"Noord-Limburg";"272786"
"Bellingwedde";"0007";"Oost-Groningen";"164578"
"Berg en Dal";"1945";"Nijmegen";"332057"
"Bergeijk";"1724";"Zuidoost-Brabant";"731958"
"Bergen (L)";"0893";"Noord-Limburg";"272786"
"Bergen (NH)";"0373";"Noord-Holland-Noord";"646991"
"Bergen op Zoom";"0748";"West-Brabant";"678256"
"Berkelland";"1859";"Achterhoek";"297732"
"Bernheze";"1721";"Noordoost-Brabant";"602575"
"Best";"0753";"Zuidoost-Brabant";"731958"
"Beuningen";"0209";"Nijmegen";"332057"
"Beverwijk";"0375";"Zuidelijk Noord-Holland";"1911222"
"Binnenmaas";"0585";"Rijnmond";"1764400"
"Bladel";"1728";"Zuidoost-Brabant";"731958"
"Blaricum";"0376";"Gooi en Vechtstreek";"255347"
"Bloemendaal";"0377";"Zuidelijk Noord-Holland";"1911222"
"Bodegraven-Reeuwijk";"1901";"Rijn-Gouwe";"784397"
"Boekel";"0755";"Noordoost-Brabant";"602575"
"Borger-Odoorn";"1681";"Zuid- en Midden-Drenthe";"332529"
"Borne";"0147";"Twente";"626009"
"Borsele";"0654";"Zeeland";"380717"
"Boxmeer";"0756";"Noordoost-Brabant";"602575"
"Boxtel";"0757";"Noordoost-Brabant";"602575"
"Breda";"0758";"West-Brabant";"678256"
"Brielle";"0501";"Rijnmond";"1764400"
"Bronckhorst";"1876";"Achterhoek";"297732"
"Brummen";"0213";"Stedendriehoek";"431599"
"Brunssum";"0899";"Parkstad Limburg";"246735"
"Bunnik";"0312";"Utrecht-Midden";"829979"
"Bunschoten";"0313";"Eemland";"284500"
"Buren";"0214";"Rivierenland";"218950"
"Capelle aan den IJssel";"0502";"Rijnmond";"1764400"
