"Gemeente";"CBS";"Centrumgemeente maatschappelijke opvang & beschermd wonen";"Inwoneraantal van regio"
"Aa en Hunze";"1680";"Assen";"319773"
"Aalburg";"0738";"Breda";"454429"
"Aalsmeer";"0358";"Amsterdam";"1014381"
"Aalten";"0197";"Doetinchem";"297732"
"Achtkarspelen";"0059";"Leeuwarden";"646324"
"Alblasserdam";"0482";"Dordrecht";"400351"
"Albrandswaard";"0613";"Rotterdam";"896061"
"Alkmaar";"0361";"Alkmaar";"274886"
"Almelo";"0141";"Almelo";"224644"
"Almere";"0034";"Almere";"401503"
"Alphen aan den Rijn";"0484";"Leiden";"549589"
"Alphen-Chaam";"1723";"Breda";"454429"
"Ameland";"0060";"Leeuwarden";"646324"
"Amersfoort";"0307";"Amersfoort";"388791"
"Amstelveen";"0362";"Amsterdam";"1014381"
"Amsterdam";"0363";"Amsterdam";"1014381"
"Apeldoorn";"0200";"Apeldoorn";"253694"
"Appingedam";"0003";"Groningen";"584104"
"Arnhem";"0202";"Arnhem";"416502"
"Assen";"0106";"Assen";"319773"
"Asten";"0743";"Helmond";"208152"
"Baarle-Nassau";"0744";"Breda";"454429"
"Baarn";"0308";"Amersfoort";"388791"
"Barendrecht";"0489";"Rotterdam";"896061"
"Barneveld";"0203";"Ede";"237843"
"Bedum";"0005";"Groningen";"584104"
"Beek";"0888";"Maastricht";"355305"
"Beemster";"0370";"Purmerend";"151879"
"Beesel";"0889";"Venlo";"490976"
"Bellingwedde";"0007";"Groningen";"584104"
"Berg en Dal";"1945";"Nijmegen";"516743"
"Bergeijk";"1724";"Eindhoven";"544333"
"Bergen (L)";"0893";"Venlo";"490976"
"Bergen (NH)";"0373";"Alkmaar";"274886"
"Bergen op Zoom";"0748";"Bergen op Zoom";"240183"
"Berkelland";"1859";"Doetinchem";"297732"
"Bernheze";"1721";"Oss";"330051"
"Best";"0753";"Eindhoven";"544333"
"Beuningen";"0209";"Nijmegen";"516743"
"Beverwijk";"0375";"Haarlem";"526018"
"Binnenmaas";"0585";"Nissewaard";"274645"
"Bladel";"1728";"Eindhoven";"544333"
"Blaricum";"0376";"Hilversum";"255347"
"Bloemendaal";"0377";"Haarlem";"526018"
"Bodegraven-Reeuwijk";"1901";"Gouda";"224887"
"Boekel";"0755";"Oss";"330051"
"Borger-Odoorn";"1681";"Emmen";"168838"
"Borne";"0147";"Enschede";"401365"
"Borsele";"0654";"Vlissingen";"380717"
"Boxmeer";"0756";"Oss";"330051"
"Boxtel";"0757";"Den Bosch";"324064"
"Breda";"0758";"Breda";"454429"
