"Gemeente";"CBS";"MIRT-gebieden";"Inwoneraantal van regio"
"Ermelo";"0233";"Oost-Nederland";"3167052"
"Etten-Leur";"0777";"Brabant";"2489325"
"Ferwerderadiel";"1722";"Noord-Nederland";"1719039"
"Franekeradeel";"0070";"Noord-Nederland";"1719039"
"Geertruidenberg";"0779";"Brabant";"2489325"
"Geldermalsen";"0236";"Oost-Nederland";"3167052"
"Geldrop-Mierlo";"1771";"Brabant";"2489325"
"Gemert-Bakel";"1652";"Brabant";"2489325"
"Gennep";"0907";"Limburg";"1118054"
"Giessenlanden";"0689";"Zuidvleugel";"3600784"
"Gilze en Rijen";"0784";"Brabant";"2489325"
"Goeree-Overflakkee";"1924";"Zuidvleugel";"3600784"
"Goes";"0664";"Zuidwestelijke Delta";"380717"
"Goirle";"0785";"Brabant";"2489325"
"Gooise Meren";"1942";"Noordwest-Nederland";"3163666"
"Gorinchem";"0512";"Zuidvleugel";"3600784"
"Gouda";"0513";"Zuidvleugel";"3600784"
"Grave";"0786";"Brabant";"2489325"
"'s-Gravenhage";"0518";"Zuidvleugel";"3600784"
"Groningen";"0014";"Noord-Nederland";"1719039"
"Grootegast";"0015";"Noord-Nederland";"1719039"
"Gulpen-Wittem";"1729";"Limburg";"1118054"
"Haaksbergen";"0158";"Oost-Nederland";"3167052"
"Haaren";"0788";"Brabant";"2489325"
"Haarlem";"0392";"Noordwest-Nederland";"3163666"
"Haarlemmerliede en Spaarnwoude";"0393";"Noordwest-Nederland";"3163666"
"Haarlemmermeer";"0394";"Noordwest-Nederland";"3163666"
"Halderberge";"1655";"Brabant";"2489325"
"Hardenberg";"0160";"Oost-Nederland";"3167052"
"Harderwijk";"0243";"Oost-Nederland";"3167052"
"Hardinxveld-Giessendam";"0523";"Zuidvleugel";"3600784"
"Haren";"0017";"Noord-Nederland";"1719039"
"Harlingen";"0072";"Noord-Nederland";"1719039"
"Hattem";"0244";"Oost-Nederland";"3167052"
"Heemskerk";"0396";"Noordwest-Nederland";"3163666"
"Heemstede";"0397";"Noordwest-Nederland";"3163666"
"Heerde";"0246";"Oost-Nederland";"3167052"
"Heerenveen";"0074";"Noord-Nederland";"1719039"
"Heerhugowaard";"0398";"Noordwest-Nederland";"3163666"
"Heerlen";"0917";"Limburg";"1118054"
"Heeze-Leende";"1658";"Brabant";"2489325"
"Heiloo";"0399";"Noordwest-Nederland";"3163666"
"Hellendoorn";"0163";"Oost-Nederland";"3167052"
"Hellevoetsluis";"0530";"Zuidvleugel";"3600784"
"Helmond";"0794";"Brabant";"2489325"
"Hendrik-Ido-Ambacht";"0531";"Zuidvleugel";"3600784"
"Hengelo (O)";"0164";"Oost-Nederland";"3167052"
"'s-Hertogenbosch";"0796";"Brabant";"2489325"
"het Bildt";"0063";"Noord-Nederland";"1719039"
"Heumen";"0252";"Oost-Nederland";"3167052"
"Heusden";"0797";"Brabant";"2489325"
"Hillegom";"0534";"Zuidvleugel";"3600784"
"Hilvarenbeek";"0798";"Brabant";"2489325"
"Hilversum";"0402";"Noordwest-Nederland";"3163666"
"Hof van Twente";"1735";"Oost-Nederland";"3167052"
"Hollands Kroon";"1911";"Noordwest-Nederland";"3163666"
"Hoogeveen";"0118";"Noord-Nederland";"1719039"
"Hoogezand-Sappemeer";"0018";"Noord-Nederland";"1719039"
"Hoorn";"0405";"Noordwest-Nederland";"3163666"
"Horst aan de Maas";"1507";"Limburg";"1118054"
"Houten";"0321";"Utrecht";"1263509"
"Huizen";"0406";"Noordwest-Nederland";"3163666"
"Hulst";"0677";"Zuidwestelijke Delta";"380717"
"IJsselstein";"0353";"Utrecht";"1263509"
"Kaag en Braassem";"1884";"Zuidvleugel";"3600784"
"Kampen";"0166";"Oost-Nederland";"3167052"
"Kapelle";"0678";"Zuidwestelijke Delta";"380717"
"Katwijk";"0537";"Zuidvleugel";"3600784"
"Kerkrade";"0928";"Limburg";"1118054"
"Koggenland";"1598";"Noordwest-Nederland";"3163666"
"Kollumerland en Nieuwkruisland";"0079";"Noord-Nederland";"1719039"
"Korendijk";"0588";"Zuidvleugel";"3600784"
"Krimpen aan den IJssel";"0542";"Zuidvleugel";"3600784"
"Krimpenerwaard";"1931";"Zuidvleugel";"3600784"
"Laarbeek";"1659";"Brabant";"2489325"
"Landerd";"1685";"Brabant";"2489325"
"Landgraaf";"0882";"Limburg";"1118054"
"Landsmeer";"0415";"Noordwest-Nederland";"3163666"
"Langedijk";"0416";"Noordwest-Nederland";"3163666"
"Lansingerland";"1621";"Zuidvleugel";"3600784"
"Laren";"0417";"Noordwest-Nederland";"3163666"
"Leek";"0022";"Noord-Nederland";"1719039"
"Leerdam";"0545";"Zuidvleugel";"3600784"
"Leeuwarden";"0080";"Noord-Nederland";"1719039"
"Leeuwarderadeel";"0081";"Noord-Nederland";"1719039"
"Leiden";"0546";"Zuidvleugel";"3600784"
"Leiderdorp";"0547";"Zuidvleugel";"3600784"
"Leidschendam-Voorburg";"1916";"Zuidvleugel";"3600784"
"Lelystad";"0995";"Noordwest-Nederland";"3163666"
"Leudal";"1640";"Limburg";"1118054"
"Leusden";"0327";"Utrecht";"1263509"
"Lingewaal";"0733";"Oost-Nederland";"3167052"
"Lingewaard";"1705";"Oost-Nederland";"3167052"
"Lisse";"0553";"Zuidvleugel";"3600784"
"Littenseradiel";"0140";"Noord-Nederland";"1719039"
"Lochem";"0262";"Oost-Nederland";"3167052"
"Loon op Zand";"0809";"Brabant";"2489325"
"Lopik";"0331";"Utrecht";"1263509"
"Loppersum";"0024";"Noord-Nederland";"1719039"
"Losser";"0168";"Oost-Nederland";"3167052"
"Maasdriel";"0263";"Oost-Nederland";"3167052"
"Maasgouw";"1641";"Limburg";"1118054"
"Maassluis";"0556";"Zuidvleugel";"3600784"
"Maastricht";"0935";"Limburg";"1118054"
"Marum";"0025";"Noord-Nederland";"1719039"
"Medemblik";"0420";"Noordwest-Nederland";"3163666"
"Meerssen";"0938";"Limburg";"1118054"
"Menameradiel";"1908";"Noord-Nederland";"1719039"
"Menterwolde";"1987";"Noord-Nederland";"1719039"
"Meppel";"0119";"Noord-Nederland";"1719039"
"Middelburg";"0687";"Zuidwestelijke Delta";"380717"
"Midden-Delfland";"1842";"Zuidvleugel";"3600784"
"Midden-Drenthe";"1731";"Noord-Nederland";"1719039"
"Mill en Sint Hubert";"0815";"Brabant";"2489325"
"Moerdijk";"1709";"Brabant";"2489325"
"Molenwaard";"1927";"Zuidvleugel";"3600784"
"Montferland";"1955";"Oost-Nederland";"3167052"
"Montfoort";"0335";"Utrecht";"1263509"
"Mook en Middelaar";"0944";"Limburg";"1118054"
"Neder-Betuwe";"1740";"Oost-Nederland";"3167052"
"Nederweert";"0946";"Limburg";"1118054"
"Neerijnen";"0304";"Oost-Nederland";"3167052"
"Nieuwegein";"0356";"Utrecht";"1263509"
"Nieuwkoop";"0569";"Zuidvleugel";"3600784"
"Nijkerk";"0267";"Oost-Nederland";"3167052"
"Nijmegen";"0268";"Oost-Nederland";"3167052"
"Nissewaard";"1930";"Zuidvleugel";"3600784"
"Noord-Beveland";"1695";"Zuidwestelijke Delta";"380717"
"Noordenveld";"1699";"Noord-Nederland";"1719039"
"Noordoostpolder";"0171";"Noordwest-Nederland";"3163666"
"Noordwijk";"0575";"Zuidvleugel";"3600784"
"Noordwijkerhout";"0576";"Zuidvleugel";"3600784"
"Nuenen, Gerwen en Nederwetten";"0820";"Brabant";"2489325"
"Nunspeet";"0302";"Oost-Nederland";"3167052"
"Nuth";"0951";"Limburg";"1118054"
"Oegstgeest";"0579";"Zuidvleugel";"3600784"
"Oirschot";"0823";"Brabant";"2489325"
"Oisterwijk";"0824";"Brabant";"2489325"
"Oldambt";"1895";"Noord-Nederland";"1719039"
"Oldebroek";"0269";"Oost-Nederland";"3167052"
"Oldenzaal";"0173";"Oost-Nederland";"3167052"
"Olst-Wijhe";"1773";"Oost-Nederland";"3167052"
"Ommen";"0175";"Oost-Nederland";"3167052"
"Onderbanken";"0881";"Limburg";"1118054"
"Oost Gelre";"1586";"Oost-Nederland";"3167052"
"Oosterhout";"0826";"Brabant";"2489325"
"Ooststellingwerf";"0085";"Noord-Nederland";"1719039"
"Oostzaan";"0431";"Noordwest-Nederland";"3163666"
"Opmeer";"0432";"Noordwest-Nederland";"3163666"
"Opsterland";"0086";"Noord-Nederland";"1719039"
"Oss";"0828";"Brabant";"2489325"
"Oud-Beijerland";"0584";"Zuidvleugel";"3600784"
"Oude IJsselstreek";"1509";"Oost-Nederland";"3167052"
"Ouder-Amstel";"0437";"Noordwest-Nederland";"3163666"
"Oudewater";"0589";"Utrecht";"1263509"
"Overbetuwe";"1734";"Oost-Nederland";"3167052"
"Papendrecht";"0590";"Zuidvleugel";"3600784"
"Peel en Maas";"1894";"Limburg";"1118054"
"Pekela";"0765";"Noord-Nederland";"1719039"
"Pijnacker-Nootdorp";"1926";"Zuidvleugel";"3600784"
"Purmerend";"0439";"Noordwest-Nederland";"3163666"
"Putten";"0273";"Oost-Nederland";"3167052"
"Raalte";"0177";"Oost-Nederland";"3167052"
"Reimerswaal";"0703";"Zuidwestelijke Delta";"380717"
"Renkum";"0274";"Oost-Nederland";"3167052"
"Renswoude";"0339";"Utrecht";"1263509"
"Reusel-De Mierden";"1667";"Brabant";"2489325"
"Rheden";"0275";"Oost-Nederland";"3167052"
"Rhenen";"0340";"Utrecht";"1263509"
"Ridderkerk";"0597";"Zuidvleugel";"3600784"
"Rijnwaarden";"0196";"Oost-Nederland";"3167052"
"Rijssen-Holten";"1742";"Oost-Nederland";"3167052"
"Rijswijk";"0603";"Zuidvleugel";"3600784"
"Roerdalen";"1669";"Limburg";"1118054"
"Roermond";"0957";"Limburg";"1118054"
"Roosendaal";"1674";"Brabant";"2489325"
"Rotterdam";"0599";"Zuidvleugel";"3600784"
"Rozendaal";"0277";"Oost-Nederland";"3167052"
"Rucphen";"0840";"Brabant";"2489325"
"Schagen";"0441";"Noordwest-Nederland";"3163666"
"Scherpenzeel";"0279";"Oost-Nederland";"3167052"
"Schiedam";"0606";"Zuidvleugel";"3600784"
"Schiermonnikoog";"0088";"Noord-Nederland";"1719039"
"Schijndel";"0844";"Brabant";"2489325"
"Schinnen";"0962";"Limburg";"1118054"
"Schouwen-Duiveland";"1676";"Zuidwestelijke Delta";"380717"
"Simpelveld";"0965";"Limburg";"1118054"
"Sint Anthonis";"1702";"Brabant";"2489325"
"Sint-Michielsgestel";"0845";"Brabant";"2489325"
"Sint-Oedenrode";"0846";"Brabant";"2489325"
"Sittard-Geleen";"1883";"Limburg";"1118054"
"Sliedrecht";"0610";"Zuidvleugel";"3600784"
"Slochteren";"0040";"Noord-Nederland";"1719039"
"Sluis";"1714";"Zuidwestelijke Delta";"380717"
"Smallingerland";"0090";"Noord-Nederland";"1719039"
"Soest";"0342";"Utrecht";"1263509"
"Someren";"0847";"Brabant";"2489325"
"Son en Breugel";"0848";"Brabant";"2489325"
"Stadskanaal";"0037";"Noord-Nederland";"1719039"
"Staphorst";"0180";"Oost-Nederland";"3167052"
"Stede Broec";"0532";"Noordwest-Nederland";"3163666"
"Steenbergen";"0851";"Brabant";"2489325"
"Steenwijkerland";"1708";"Oost-Nederland";"3167052"
"Stein";"0971";"Limburg";"1118054"
"Stichtse Vecht";"1904";"Utrecht";"1263509"
"Strijen";"0617";"Zuidvleugel";"3600784"
"Súdwest Fryslân";"1900";"Noord-Nederland";"1719039"
"Ten Boer";"0009";"Noord-Nederland";"1719039"
"Terneuzen";"0715";"Zuidwestelijke Delta";"380717"
"Terschelling";"0093";"Noord-Nederland";"1719039"
"Texel";"0448";"Noordwest-Nederland";"3163666"
"Teylingen";"1525";"Zuidvleugel";"3600784"
"Tholen";"0716";"Zuidwestelijke Delta";"380717"
"Tiel";"0281";"Oost-Nederland";"3167052"
"Tilburg";"0855";"Brabant";"2489325"
"Tubbergen";"0183";"Oost-Nederland";"3167052"
"Twenterand";"1700";"Oost-Nederland";"3167052"
"Tynaarlo";"1730";"Noord-Nederland";"1719039"
"Tytsjerksteradiel";"0737";"Noord-Nederland";"1719039"
"Uden";"0856";"Brabant";"2489325"
"Uitgeest";"0450";"Noordwest-Nederland";"3163666"
"Uithoorn";"0451";"Noordwest-Nederland";"3163666"
"Urk";"0184";"Noordwest-Nederland";"3163666"
"Utrecht";"0344";"Utrecht";"1263509"
"Utrechtse Heuvelrug";"1581";"Utrecht";"1263509"
"Vaals";"0981";"Limburg";"1118054"
"Valkenburg aan de Geul";"0994";"Limburg";"1118054"
"Valkenswaard";"0858";"Brabant";"2489325"
"Veendam";"0047";"Noord-Nederland";"1719039"
"Veenendaal";"0345";"Utrecht";"1263509"
"Veere";"0717";"Zuidwestelijke Delta";"380717"
"Veghel";"0860";"Brabant";"2489325"
"Veldhoven";"0861";"Brabant";"2489325"
"Velsen";"0453";"Noordwest-Nederland";"3163666"
"Venlo";"0983";"Limburg";"1118054"
"Venray";"0984";"Limburg";"1118054"
"Vianen";"0620";"Utrecht";"1263509"
"Vlaardingen";"0622";"Zuidvleugel";"3600784"
"Vlagtwedde";"0048";"Noord-Nederland";"1719039"
"Vlieland";"0096";"Noord-Nederland";"1719039"
"Vlissingen";"0718";"Zuidwestelijke Delta";"380717"
"Voerendaal";"0986";"Limburg";"1118054"
"Voorschoten";"0626";"Zuidvleugel";"3600784"
"Voorst";"0285";"Oost-Nederland";"3167052"
"Vught";"0865";"Brabant";"2489325"
"Waalre";"0866";"Brabant";"2489325"
"Waalwijk";"0867";"Brabant";"2489325"
"Waddinxveen";"0627";"Zuidvleugel";"3600784"
"Wageningen";"0289";"Oost-Nederland";"3167052"
"Wassenaar";"0629";"Zuidvleugel";"3600784"
"Waterland";"0852";"Noordwest-Nederland";"3163666"
"Weert";"0988";"Limburg";"1118054"
"Weesp";"0457";"Noordwest-Nederland";"3163666"
"Werkendam";"0870";"Brabant";"2489325"
"West Maas en Waal";"0668";"Oost-Nederland";"3167052"
"Westerveld";"1701";"Noord-Nederland";"1719039"
"Westervoort";"0293";"Oost-Nederland";"3167052"
"Westland";"1783";"Zuidvleugel";"3600784"
"Weststellingwerf";"0098";"Noord-Nederland";"1719039"
"Westvoorne";"0614";"Zuidvleugel";"3600784"
"Wierden";"0189";"Oost-Nederland";"3167052"
"Wijchen";"0296";"Oost-Nederland";"3167052"
"Wijdemeren";"1696";"Noordwest-Nederland";"3163666"
"Wijk bij Duurstede";"0352";"Utrecht";"1263509"
"Winsum";"0053";"Noord-Nederland";"1719039"
"Winterswijk";"0294";"Oost-Nederland";"3167052"
"Woensdrecht";"0873";"Brabant";"2489325"
"Woerden";"0632";"Utrecht";"1263509"
"Wormerland";"0880";"Noordwest-Nederland";"3163666"
"Woudenberg";"0351";"Utrecht";"1263509"
"Woudrichem";"0874";"Brabant";"2489325"
"Zaanstad";"0479";"Noordwest-Nederland";"3163666"
"Zaltbommel";"0297";"Oost-Nederland";"3167052"
"Zandvoort";"0473";"Noordwest-Nederland";"3163666"
"Zederik";"0707";"Zuidvleugel";"3600784"
"Zeewolde";"0050";"Noordwest-Nederland";"3163666"
"Zeist";"0355";"Utrecht";"1263509"
"Zevenaar";"0299";"Oost-Nederland";"3167052"
"Zoetermeer";"0637";"Zuidvleugel";"3600784"
"Zoeterwoude";"0638";"Zuidvleugel";"3600784"
"Zuidhorn";"0056";"Noord-Nederland";"1719039"
"Zuidplas";"1892";"Zuidvleugel";"3600784"
"Zundert";"0879";"Brabant";"2489325"
"Zutphen";"0301";"Oost-Nederland";"3167052"
"Zwartewaterland";"1896";"Oost-Nederland";"3167052"
"Zwijndrecht";"0642";"Zuidvleugel";"3600784"
"Zwolle";"0193";"Oost-Nederland";"3167052"
