Naam,Afkorting,Straat,Postcode,Plaats,Bezoekadres straat,Bezoekadres postcode,Bezoekadres plaats,Telefoon,E-mail,Internetsite,Grondslag,Link wettenbank,Instellingsmotief,Relatie met ministerie,Taken & bevoegdheden,Kaderwet van toepassing,Afwijkende bepalingen artikel,Afwijkende bepalingen,Jaar van oprichting,Aantekening,Personeelsomvang FTE,Personeelsomvang toelichting,Geldende CAO,Aangesloten bij pensioenfonds,Datum laatste evaluatieverslag,Kamerstuknummer laatste evaluatieverslag,Deeltijd,Rechtsvorm,Type ZBO,Mutatiedatum
Argonaut Advies BV,,Postbus 446,3760 AK,Soest,Soestdijkerweg 17,3734 MG,Den Dolder,088 2298080,info@argonaut.nl,http://www.argonaut.nl,Argonaut is door een uitspraak van de centrale raad van beroep aangemerkt als bestuursorgaan. Argonaut voert taak uit op basis van een overeenkomst met de Staat in 2004.,,,"Ministerie van Volksgezondheid, Welzijn en Sport (VWS)",Het nemen van beslissingen van verzoeken om toekenning van een hoog persoonlijk kilometerbudget voor mensen voor wie het reizen met de trein niet mogelijk is (ook niet met begeleiding). Dit gebeurt in het kader van het bovenregionaal vervoer voor mensen met een mobiliteitsbeperking.,Nee,,,2004,,,,,,,,onbekend,Privaatrechtelijk - Stichting,Afzonderlijke ZBO,05/09/16
Autoriteit Consument en Markt,ACM,Postbus 16326,2500 BH,Den Haag,Muzenstraat 41,2511 WB,Den Haag,070 7222000,Via de website kunt u contact opnemen met deze organisatie.,http://www.acm.nl,"Instellingswet Autoriteit Consument en Markt, artikel 2",[Instellingswet Autoriteit Consument en Markt](http://wetten.overheid.nl/BWBR0033043/),,Ministerie van Economische Zaken (EZ),"* Is belast met taken (hoofdzakelijk nalevingstoezicht en bestuursrechtelijke handhaving) op grond van de Wet handhaving consumentenbescherming,
 
 * Mededingingswet,
 
 * Telecommunicatiewet, 
 
 * Postwet 2009, 
 
 * Elektriciteitswet 1998, 
 
 * Gaswet en vervoerswetgeving (Wet personenvervoer 2000, Loodsenwet, Spoorwegwet, Wet luchtvaart en Scheepvaartverkeerswet).",Ja,22,"Artikel 22 van de Kaderwet ZBO is gedeeltelijk van toepassing (zie: TKII 2012-2013, 33 622, nr.2, artikel I, onderdeel G).",2013,"De ACM is ingesteld op 1 april 2013. In de ACM zijn NMa, OPTA en Consumentenautoriteit opgegaan.",498,(2014-12-31),CAO Rijk,ABP,18/12/15,TK 25268 nr. 132,onbekend,Publiekrechtelijk - Onderdeel Staat der Nederlanden,Afzonderlijke ZBO,15/08/16
Autoriteit Financiële Markten,AFM,Postbus 11723,1001 GS,Amsterdam,Vijzelgracht 50,1017 HS,Amsterdam,020 7972000,info@afm.nl,http://www.afm.nl/,"* Wet toezicht effectenverkeer 1995;
 * Wet op het financieel toezicht artikel 1:30;
 * Wet melding zeggenschap in ter beurze genoteerde vennootschappen 1996;
 * Wet toezicht kredietwezen 1992;
 * Wet toezicht verzekeringsbedrijf 1993;
 * Wet toezicht natura uitvaartverzekeringsbedrijf;
 * Wet op het consumentenkrediet;
 * Wet toezicht beleggingsinstellingen;
 * Wet giraal effectenverkeer.","</br> [Wet toezicht effectenverkeer 1995 artikel 40](http://wetten.overheid.nl/cgi-bin/deeplink/law1/bwbid=BWBR0007657/article=40)
 </br>[Wet op het financieel toezicht artikel 1:30](http://wetten.overheid.nl/BWBR0020368/1/Hoofdstuk12/Afdeling122/Artikel130/)",,Ministerie van Financiën (FIN),"Houden van gedragstoezicht op de financiële markten ter bevordering van een ordelijk en transparant marktproces, zuivere verhoudingen tussen marktpartijen, en de bescherming van de consument.",Ja,"21,22,33,28,","Er is geen afwijkende bepaling voor het gehele artikel 28 van de kaderwet ZBO, maar slecht voor het 1ste lid van artikel 28.",1995,,"574,1",(2014-12-31),Geen CAO,Pensioenfonds AFM,,,onbekend,Privaatrechtelijk - Stichting,Afzonderlijke ZBO,01/09/16
Bureau Architectenregister,SBA,Postbus 85506,2508 CE,Den Haag,Nassauplein 24,2585 EC,Den Haag,070 3467020,info@architectenregister.nl,http://www.architectenregister.nl/,"Wet op de Architectentitel, artikel 3(Staatsblad 1987, nummer 347)",[Wet op de Architectentitel](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=Wet%20op%20de%20architectentitel/article=3),,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties (BZK),"* Beheer van het architectenregister;
 
 * verlenen van administratieve bijstand aan de examencommissies voor architecten, stedenbouwkundigen, tuin- en landschapsarchitecten en interieurarchitecten;
 
 * verstrekken van informatie omtrent de bij of krachtens de Wet op de architectentitel gegeven voorschriften;
 
 * doen van opgave of een persoon in het architectenregister staat ingeschreven en onder welke titel.",Ja,22,,1988,,"6,51",(2014-12-31),CAO Rijk,ABP,,,onbekend,Publiekrechtelijk - Eigen rechtspersoonlijkheid,Afzonderlijke ZBO,18/07/16
Bureau Beheer Landbouwgronden,BBL,Rijksdienst voor Ondernemend Nederland Team grond/BBL Postbus 20030,3502 LA,Utrecht,,,,088 0424242,U kunt via de onderstaande link een contactformulier bereiken.,http://www.rvo.nl/onderwerpen/agrarisch-ondernemen/mest-en-grond/grond/bureau-beheer-landbouwgronden,"Wet agrarisch grondverkeer, artikel 28 lid 3, van 26 maart 1981 (Staatsblad 1981, nummer 248).",[Wet agrarisch grondverkeer](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=Wet%20agrarisch%20grondverkeer/article=28),,Ministerie van Economische Zaken (EZ),Rijkspartij bij grondtransacties,Nee,,,2004,Rijksdienst voor Ondernemend Nederland (RVO) is de uitvoeringsorganisatie gerelateerd aan BBL. Via de RVO kunt u meer informatie vinden over de BBL.,,,,,,,onbekend,Publiekrechtelijk - Eigen rechtspersoonlijkheid,Afzonderlijke ZBO,27/07/16
Bureau Financieel Toezicht,BFT,Postbus 14052,3508 SC,Utrecht,Euclideslaan 201,3584 BS,Utrecht,030 2516984,bft.post@bureauft.nl,http://www.bureauft.nl/,"Wet op het notarisambt, artikel 110, eerste lid",[Wet op het notarisambt](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=Wet%20op%20het%20notarisambt/article=110),,Ministerie van Veiligheid en Justitie (VenJ),"Houdt financieel toezicht op notarissen en gerechtsdeurwaarders. Tevens wordt toezicht gehouden op de naleving van de Wet ter voorkoming van witwassen en financieren van terrorisme (WWFT) bij notarissen, accountants, advocaten, belastingadviseurs en overige financiële en juridische dienstverleners.",Ja,,,2000,,"44,4",(2015-05-18) waarvan 0.26 FTE bestuur,CAO Rijk,ABP,,,onbekend,Publiekrechtelijk - Eigen rechtspersoonlijkheid,Afzonderlijke ZBO,18/07/16
CAK,,Antwoordnummer 1608,2509 VB,Den Haag,Prinses Beatrixlaan 7,2595 AK,Den Haag,088 7114000,Via de website kunt u contact opnemen met deze organisatie.,http://www.hetcak.nl,"Wet Langdurige Zorg, artikel 6",[Wet Langdurige Zorg](http://wetten.overheid.nl/BWBR0035917),,"Ministerie van Volksgezondheid, Welzijn en Sport (VWS)","* Het CAK is belast met: de vaststelling en de inning van de eigen bijdragen, bedoeld in artikel 6, vierde lid van de Algemene wet bijzondere ziektekosten; 
 
 * de vaststelling en inning van de eigen bijdragen, bedoeld in artikel 16 van de Wet maatschappelijke ondersteuning alsmede de vaststelling en verstrekking van bedragen als bedoeld in artikel 90, tweede lid, onderdeel g, van de Wet financiering sociale verzekeringen; 
 
 * de vaststelling van het recht op en de verstrekking van de tegemoetkomingen, bedoeld in artikel 2, eerste en tweede lid, van de Wet tegemoetkoming chronisch zieken en gehandicapten;
 
 * de vaststelling van het recht op en de verstrekking van de uitkeringen, bedoeld in artikel 118a, eerste lid, van de Zorgverzekeringswet;
 
 * het namens zorgverzekeraars of het College zorgverzekeringen verrichten van betalingen aan zorgaanbieders, welke de zorgverzekeraars, of het College zorgverzekeringen, uit hoofde van de uitvoering van deze wet verschuldigd zijn.",Ja,15,,2013,,665,(2014-12-31),CAO voor Zorgverzekeraars,Stichting Bedrijfstakpensioenfonds Zorgverzekeraars (SBZ),,,onbekend,Publiekrechtelijk - Eigen rechtspersoonlijkheid,Afzonderlijke ZBO,16/08/16
Centraal Bureau Rijvaardigheidsbewijzen,CBR,Postbus 5301,2280 HH,Rijswijk,Sir Winston Churchilllaan 297,2288 DC,Rijswijk,0900 0210,Via de website kunt u contact opnemen met deze organisatie.,http://www.cbr.nl/,"Wegenverkeerswet, artikel 4z",[Wegenverkeerswet 1994](http://wetten.overheid.nl/BWBR0006622/),,Ministerie van Infrastructuur en Milieu (IenM),"* het CBR is belast met de volgende taken: het beoordelen van de rijvaardigheid;
 
 * het beoordelen van de lichamelijke en geestelijke geschiktheid tot het besturen van motorrijtuigen;
 
 * het opleggen van onderzoeken naar de rijvaardigheid en de geschiktheid tot het besturen van motorrijtuigen van houders van rijbewijzen ten aanzien van wie een vermoeden van onvoldoende rijvaardigheid of geschiktheid; 
 
 * het opleggen van educatieve maatregelen ter bevordering van de rijvaardigheid of geschiktheid tot het besturen van motorrijtuigen; 
 
 * het opleggen en uitvoeren van het alcoholslotprogramma; 
 
 * het schorsen van de geldigheid van rijbewijzen; 
 
 * het ongeldig verklaren van rijbewijzen; 
 
 * het verlenen van ontheffingen als bedoeld in artikel 149, tweede lid; 
 
 * het afgeven van gehandicaptenparkeerkaarten aan aanvragers die niet zijn ingeschreven in de basisadministratie persoonsgegevens van een gemeente; 
 
 * het beoordelen van de vakbekwaamheid van bestuurders in het goederen- en personenvervoer over de weg;
 
 * het erkennen van opleidingscentra voor het verrichten van nascholing en het certificeren van cursussen met betrekking tot vakbekwaamheid bestuurders goederen- en personenvervoer over de weg en het registreren van nascholing;
 
 * het houden van toezicht op de naleving van de verplichtingen die voortvloeien uit de in onderdeel k bedoelde erkenningen;
 
 * het uitreiken van Nederlandse omwisselingscertificaten en deelcertificaten vakbekwaamheid bestuurders goederen- en personenvervoer over de weg;
 
 * het ongeldig verklaren van getuigschriften van vakbekwaamheid, getuigschriften van nascholing en Nederlandse omwisselingscertificaten;
 
 * het verwerken van gegevens, waaronder mede begrepen gegevens betreffende iemands gezondheid, voor zover dit noodzakelijk is voor de uitvoering van de taken waarmee het CBR bij of krachtens deze wet is belast, alsmede van de taken waarmee het CBR bij of krachtens andere wetten is belast;
 
 * het met inachtneming van artikel 4am vaststellen van de tarieven, alsmede het vaststellen van de wijze van betaling van deze tarieven, voor het verrichten van taken waarvoor het CBR bij of krachtens deze wet bevoegd is, alsmede voor de bij of krachtens andere wetten opgedragen taken;
 
 * het verstrekken van gegevens voor zover dit noodzakelijk is voor de uitvoering van de taken waarmee het CBR dan wel andere organisaties bij of krachtens deze wet zijn belast.Voorts is het CBR belast met:
 
 * de bij of krachtens andere wetten opgedragen taken, en;
 
 * andere bij regeling van Onze Minister opgedragen taken waarbij regels kunnen worden gesteld met betrekking tot de tarieven van deze taken.
 
 * afnemen vakexamens binnenvaart en examens Reglement voor het vervoer van gevaarlijke stoffen over de Rijn (ADNR); 
 
 * afgifte Groot Vaarbewijs, Rijnpatenten en Radardiploma en vakbekwaamheidscertificaten ANDR.",Ja,15,,1927,,1.038,(2014-12-31),Eigen CAO,ABP,,,onbekend,Publiekrechtelijk - Eigen rechtspersoonlijkheid,Afzonderlijke ZBO,15/08/16
Centraal Orgaan opvang asielzoekers,COA,Postbus 3002,2280 ME,Rijswijk,Sir Winston Churchilllaan 366A,2285 SJ,Rijswijk,088 7157000,publieksvoorlichting@coa.nl,http://www.coa.nl/,"Wet Centraal Orgaan opvang asielzoekers, Staatsblad 1994, nummer 422",[Wet Centraal Orgaan opvang asielzoekers](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=WET%20CENTRAAL%20ORGAAN%20OPVANG%20ASIELZOEKERS),,Ministerie van Veiligheid en Justitie (VenJ),"Het op een bedrijfsmatige wijze organiseren van een humaan en sober eerste verblijf voor wisselende aantallen asielzoekers die naar Nederland komen, op een zodanige wijze dat hun komst en eerste verblijf hanteerbaar zijn voor overheid en samenleving.",Ja,15,,1994,,1.430,(2014-12-31),CAO Welzijn & Maatschappelijke Dienstverlening,Pensioenfonds Zorg en Welzijn (PFZW),,,onbekend,Publiekrechtelijk - Eigen rechtspersoonlijkheid,Afzonderlijke ZBO,26/07/16
Centrale Commissie Dierproeven,CCD,Postbus 20401,2500 EK,Den Haag,Bezuidenhoutseweg 73,2594 AC,Den Haag,0900 2800028,info@zbo-ccd.nl,http://www.centralecommissiedierproeven.nl/,"Wet op de dierproeven, artikel 18.",[Wet op de dierproeven](http://wetten.overheid.nl/BWBR0003081/),,Ministerie van Economische Zaken (EZ),Het verlenen van projectvergunningen en het erkennen van dierexperimentencommissies.,Ja,,,2014,,15,(2015-01-01),CAO Rijk,ABP,,,onbekend,Publiekrechtelijk - Onderdeel Staat der Nederlanden,Afzonderlijke ZBO,18/07/16
