Domain Name,Domain Type,Agency
casa.nl,Zorginstellingen,Abortuskliniek
casaklinieken.nl,Zorginstellingen,Abortuskliniek
askkliniek.nl,Zorginstellingen,Abortuskliniek
abortuskliniekalmere.nl,Zorginstellingen,Abortuskliniek
emmakliniek.nl,Zorginstellingen,Abortuskliniek
stimezo-zwolle.nl,Zorginstellingen,Abortuskliniek
bloemenhove.nl,Zorginstellingen,Abortuskliniek
vrelinghuis.nl,Zorginstellingen,Abortuskliniek
csgnn.nl,Zorginstellingen,Abortuskliniek
efarma.nl,Zorginstellingen,Apotheek
apotheeksaendelft.nl,Zorginstellingen,Apotheek
apotheekdemare.nl,Zorginstellingen,Apotheek
apotheekwestwijk.leef.nl,Zorginstellingen,Apotheek
mcdefonteijn.nl,Zorginstellingen,Apotheek
hetkruispunt.mediq-apotheek.nl,Zorginstellingen,Apotheek
apotheekeilandspolder.nl,Zorginstellingen,Apotheek
nationale-apotheek.nl,Zorginstellingen,Apotheek
kring-apotheeklunetten.nl,Zorginstellingen,Apotheek
apotheekveen.nl,Zorginstellingen,Apotheek
alphega-apotheek.nl,Zorginstellingen,Apotheek
singel-apotheek.nl,Zorginstellingen,Apotheek
apotheekbakel.nl,Zorginstellingen,Apotheek
apotheekbeatrixplantsoen.nl,Zorginstellingen,Apotheek
apotheekdeakker.nl,Zorginstellingen,Apotheek
apotheekdeschelde.nl,Zorginstellingen,Apotheek
apothekenhaaksbergen.nl,Zorginstellingen,Apotheek
zorggroep-almere.nl,Zorginstellingen,Apotheek
apotheeklopesdias.nl,Zorginstellingen,Apotheek
apotheekvandersluis.nl,Zorginstellingen,Apotheek
apotheekvanheemskerck.nl,Zorginstellingen,Apotheek
apotheekwilgendonk.nl,Zorginstellingen,Apotheek
elkerliek.nl,Zorginstellingen,Apotheek
gooischeapotheek.nl,Zorginstellingen,Apotheek
apotheekzeewijk.nl,Zorginstellingen,Apotheek
poliklinischeapotheeklelystad.nl,Zorginstellingen,Apotheek
apotheekkranenborg.nl,Zorginstellingen,Apotheek
zandvoortseapotheek.nl,Zorginstellingen,Apotheek
apotheekwilhelmina.nl,Zorginstellingen,Apotheek
apotheekblankenburg.nl,Zorginstellingen,Apotheek
katwijkseapotheek.nl,Zorginstellingen,Apotheek
rijnstate.nl,Zorginstellingen,Apotheek
apotheekblixembosch.nl,Zorginstellingen,Apotheek
apotheekrhenen.nl,Zorginstellingen,Apotheek
deruyterapotheek.nl,Zorginstellingen,Apotheek
apotheek-jansen.nl,Zorginstellingen,Apotheek
apotheekhofstad.nl,Zorginstellingen,Apotheek
apotheekbom.nl,Zorginstellingen,Apotheek
apotheekdevuursteen.nl,Zorginstellingen,Apotheek
nl.boots.com,Zorginstellingen,Apotheek
dante.medsenapotheek.nl,Zorginstellingen,Apotheek
erica.mediq-apotheek.nl,Zorginstellingen,Apotheek
udenhout.mediq-apotheek.nl,Zorginstellingen,Apotheek
bravis.nl,Zorginstellingen,Apotheek
regenboogapotheek.nl,Zorginstellingen,Apotheek
sal.nl,Zorginstellingen,Apotheek
sal.n,Zorginstellingen,Apotheek
apotheekculemborg.nl,Zorginstellingen,Apotheek
v-a-l.nl,Zorginstellingen,Apotheek
apotheekartois.nl,Zorginstellingen,Apotheek
apotheekaalstwaalre.leef.nl,Zorginstellingen,Apotheek
apotheekermel.nl,Zorginstellingen,Apotheek
gezondheidscentrumdeparel.nl,Zorginstellingen,Apotheek
mathenesserapotheek.nl,Zorginstellingen,Apotheek
apotheekabtsweg.nl,Zorginstellingen,Apotheek
apotheekhoving.nl,Zorginstellingen,Apotheek
dewasserij.benuapotheek.nl,Zorginstellingen,Apotheek
mediq-apotheek.nl,Zorginstellingen,Apotheek
apotheekbeekdal.nl,Zorginstellingen,Apotheek
