"cbsId","cbsName","cbsComment"
"GM1680","Aa en Hunze","Ontstaan per 01-01-1998"
"GM0738","Aalburg","Ontstaan per 01-01-1973"
"GM0358","Aalsmeer","Begindatum voor 1830"
"GM0197","Aalten","Gemeentelijke herindeling per 01-01-2005. <br>Begindatum voor 1830"
"GM0059","Achtkarspelen","Begindatum voor 1830"
"GM0482","Alblasserdam","Begindatum voor 1830"
"GM0613","Albrandswaard","Ontstaan per 01-01-1985"
"GM0361","Alkmaar","Begindatum voor 1830"
"GM0141","Almelo","Begindatum 01-12-1913"
"GM0034","Almere","Ontstaan per 01-01-1984"
"GM0484","Alphen aan den Rijn","Gemeentelijke herindeling per 01-01-2014. <br>Naamswijziging per 01-01-1918"
"GM1723","Alphen-Chaam","Ontstaan per 01-01-1997"
"GM0060","Ameland","Begindatum voor 1830"
"GM0307","Amersfoort","Begindatum voor 1830"
"GM0362","Amstelveen","Naamswijziging per 01-01-1964"
"GM0363S85","Amsterdam - Centrale Stad",""
"GM0363S56","Amsterdam - stadsdeel Centrum",""
"GM0363S90","Amsterdam - stadsdeel Nieuw-West",""
"GM0363S10","Amsterdam - stadsdeel Noord",""
"GM0363S88","Amsterdam - stadsdeel Oost",""
"GM0363S91","Amsterdam - stadsdeel West",""
"GM0363S89","Amsterdam - stadsdeel Zuid",""
"GM0363S17","Amsterdam - stadsdeel Zuidoost",""
"GM0200","Apeldoorn","Begindatum voor 1830"
"GM0003","Appingedam","Begindatum voor 1830"
"GM0202","Arnhem","Begindatum voor 1830"
"GM0106","Assen","Begindatum voor 1830"
"GM0743","Asten","Begindatum voor 1830"
"GM0744","Baarle-Nassau","Begindatum voor 1830"
"GM0308","Baarn","Begindatum voor 1830"
"GM0489","Barendrecht","Naamswijziging per 10-12-1886"
"GM0203","Barneveld","Begindatum voor 1830"
"GM0005","Bedum","Begindatum voor 1830"
"GM0888","Beek (L.)","Begindatum 02-01-1839"
"GM0370","Beemster","Begindatum voor 1830"
"GM0889","Beesel","Begindatum 02-01-1839"
"GM0007","Bellingwedde","Ontstaan per 01-09-1968"
"GM0491","Bergambacht","Begindatum voor 1830"
"GM1724","Bergeijk","Naamswijziging per 25-09-1998"
"GM0893","Bergen (L.)","Begindatum 02-01-1839"
"GM0373","Bergen (NH.)","Gemeentelijke herindeling per 01-01-2001. <br>Begindatum voor 1830"
"GM0748","Bergen op Zoom","Gemeentelijke herindeling per 01-01-1997. <br>Begindatum voor 1830"
"GM1859","Berkelland","Ontstaan per 01-01-2005"
"GM1721","Bernheze","Naamswijziging per 28-01-1995"
"GM0568","Bernisse","Ontstaan per 01-01-1980"
"GM0753","Best","Begindatum voor 1830"
"GM0209","Beuningen","Begindatum voor 1830"
"GM0375","Beverwijk","Begindatum voor 1830"
"GM0063","het Bildt","Begindatum voor 1830"
"GM0310","De Bilt","Gemeentelijke herindeling per 01-01-2001. <br>Begindatum voor 1830"
"GM0585","Binnenmaas","Gemeentelijke herindeling per 01-01-2007. <br>Ontstaan per 01-01-1984"
"GM1728","Bladel","Ontstaan per 01-01-1997"
"GM0376","Blaricum","Begindatum voor 1830"
"GM0377","Bloemendaal","Gemeentelijke herindeling per 01-01-2009. <br>Begindatum voor 1830"
"GM0055","Boarnsterhim","Opgeheven per 01-01-2014. <br>Naamswijziging per 03-01-1985"
"GM1901","Bodegraven-Reeuwijk","Ontstaan per 01-01-2011"
"GM0755","Boekel","Begindatum voor 1830"
"GM0009","Ten Boer","Begindatum voor 1830"
"GM1681","Borger-Odoorn","Ontstaan per 01-01-1998"
"GM0147","Borne","Begindatum voor 1830"
"GM0654","Borsele","Naamswijziging per 01-01-1970"
"GM0499","Boskoop","Opgeheven per 01-01-2014. <br>Begindatum voor 1830"
"GM0756","Boxmeer","Gemeentelijke herindeling per 01-01-1998. <br>Gemeentelijke herindeling per 01-01-1994. <br>Begindatum voor 1830"
"GM0757","Boxtel","Gemeentelijke herindeling per 01-01-1996. <br>Begindatum voor 1830"
"GM0758","Breda","Gemeentelijke herindeling per 01-01-1997. <br>Begindatum voor 1830"
"GM0501","Brielle","Begindatum voor 1830"
"GM1876","Bronckhorst","Ontstaan per 01-01-2005"
"GM0213","Brummen","Begindatum voor 1830"
"GM0899","Brunssum","Begindatum 02-01-1839"
"GM0312","Bunnik","Begindatum voor 1830"
"GM0313","Bunschoten","Begindatum voor 1830"
"GM0214","Buren","Gemeentelijke herindeling per 01-01-1999. <br>Begindatum voor 1830"
"GM0381","Bussum","Begindatum voor 1830"
"GM0502","Capelle aan den IJssel","Begindatum voor 1830"
"GM0383","Castricum","Gemeentelijke herindeling per 01-01-2002. <br>Begindatum voor 1830"
"GM0109","Coevorden","Gemeentelijke herindeling per 01-01-1998. <br>Begindatum voor 1830"
"GM1706","Cranendonck","Naamswijziging per 28-01-1998"
"GM0611","Cromstrijen","Ontstaan per 01-01-1984"
"GM1684","Cuijk","Ontstaan per 01-01-1994"
"GM0216","Culemborg","Begindatum voor 1830"
"GM0148","Dalfsen","Gemeentelijke herindeling per 01-01-2001. <br>Begindatum voor 1830"
"GM1891","Dantumadiel","Naamswijziging per 01-01-2009"
"GM0503","Delft","Begindatum voor 1830"
"GM0010","Delfzijl","Begindatum voor 1830"
"GM0762","Deurne","Naamswijziging per 01-01-1926"
"GM0150","Deventer","Gemeentelijke herindeling per 01-01-2005. <br>Gemeentelijke herindeling per 01-01-1999. <br>Begindatum voor 1830"
"GM0384","Diemen","Begindatum voor 1830"
"GM1774","Dinkelland","Naamswijziging per 01-06-2002"
"GM0504","Dirksland","Opgeheven per 01-01-2013. <br>Begindatum voor 1830"
"GM0221","Doesburg","Begindatum voor 1830"
"GM0222","Doetinchem","Gemeentelijke herindeling per 01-01-2005. <br>Begindatum 01-01-1920"
"GM0766","Dongen","Gemeentelijke herindeling per 01-01-1997. <br>Begindatum voor 1830"
"GM0058","Dongeradeel","Ontstaan per 01-01-1984"
"GM0505","Dordrecht","Begindatum voor 1830"
"GM0498","Drechterland","Gemeentelijke herindeling per 01-01-2006. <br>Naamswijziging per 01-01-1980"
"GM1719","Drimmelen","Naamswijziging per 25-04-1998"
"GM0303","Dronten","Ontstaan per 01-01-1972"
"GM0225","Druten","Begindatum voor 1830"
"GM0226","Duiven","Begindatum voor 1830"
